model,mse_00_lgd_toydata,mae_00_lgd_toydata,r2_00_lgd_toydata,rmse_00_lgd_toydata,mse_03_loss2,mae_03_loss2,r2_03_loss2,rmse_03_loss2,mse_05_axa,mae_05_axa,r2_05_axa,rmse_05_axa,mse_06_base_model,mae_06_base_model,r2_06_base_model,rmse_06_base_model,mse_01_heloc,mae_01_heloc,r2_01_heloc,rmse_01_heloc
ab,4.0,4.0,4.0,4.0,7.0,7.0,7.0,7.0,2.0,5.0,2.0,2.0,6.0,8.0,6.0,6.0,6.0,9.0,6.0,6.0
ann,13.0,13.0,13.0,13.0,9.0,10.0,9.0,9.0,11.0,13.0,11.0,11.0,9.0,11.0,9.0,9.0,10.0,12.0,10.0,10.0
cb,9.0,5.0,9.0,9.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,7.0,3.0,1.0,3.0,3.0,4.0,5.0,4.0,4.0
dt,12.0,12.0,12.0,12.0,1.0,3.0,2.0,2.0,13.0,3.0,13.0,13.0,12.0,10.0,12.0,12.0,13.0,2.0,13.0,13.0
en,3.0,6.0,3.0,3.0,12.0,12.0,12.0,12.0,8.0,12.0,8.0,8.0,7.0,9.0,7.0,7.0,12.0,13.0,12.0,12.0
knn,5.0,3.0,5.0,5.0,11.0,11.0,11.0,11.0,9.0,8.0,9.0,9.0,10.0,7.0,10.0,10.0,9.0,8.0,9.0,9.0
lgbm,6.0,8.0,6.0,6.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0
lr,2.0,2.0,2.0,2.0,13.0,13.0,13.0,13.0,4.0,7.0,4.0,4.0,13.0,13.0,13.0,13.0,8.0,11.0,8.0,8.0
rf,7.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,12.0,11.0,12.0,12.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0
svr,11.0,11.0,11.0,11.0,8.0,8.0,8.0,8.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,1.0,11.0,7.0,11.0,11.0
tabnet,8.0,9.0,8.0,8.0,10.0,9.0,10.0,10.0,6.0,10.0,6.0,6.0,11.0,12.0,11.0,11.0,7.0,10.0,7.0,7.0
tabpfn,1.0,1.0,1.0,1.0,5.0,2.0,5.0,5.0,1.0,2.0,1.0,1.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0
xgb,10.0,10.0,10.0,10.0,4.0,5.0,4.0,4.0,10.0,9.0,10.0,10.0,8.0,2.0,8.0,8.0,2.0,3.0,2.0,2.0
