model,split,mse,mae,r2,rmse
ab,0,0.08288,0.21705,0.17648,0.28788
ab,1,0.087,0.22845,0.21812,0.29495
ab,2,0.09161,0.22114,0.18586,0.30267
ann,0,0.10081,0.2758,-0.0017,0.3175
ann,1,0.10966,0.28797,0.0144,0.33115
ann,2,0.11003,0.27789,0.02215,0.3317
cb,0,0.09157,0.22462,0.09006,0.30261
cb,1,0.09135,0.2248,0.17895,0.30225
cb,2,0.09783,0.21946,0.13057,0.31277
dt,0,0.13446,0.22264,-0.3361,0.36669
dt,1,0.12899,0.213,-0.15925,0.35914
dt,2,0.13164,0.21882,-0.16996,0.36282
en,0,0.09553,0.25538,0.05077,0.30907
en,1,0.10428,0.26899,0.06275,0.32293
en,2,0.10766,0.25872,0.04317,0.32812
knn,0,0.10462,0.23884,-0.03958,0.32345
knn,1,0.10018,0.23144,0.09963,0.31651
knn,2,0.10298,0.22125,0.08481,0.3209
lgbm,0,0.08411,0.22182,0.1642,0.29002
lgbm,1,0.08622,0.22447,0.2251,0.29363
lgbm,2,0.09361,0.21997,0.16806,0.30596
lr,0,0.0833,0.22189,0.1723,0.28861
lr,1,0.08685,0.23435,0.21947,0.2947
lr,2,0.09434,0.22273,0.16154,0.30715
rf,0,0.12167,0.24086,-0.20899,0.34881
rf,1,0.11662,0.2361,-0.04812,0.3415
rf,2,0.11453,0.22587,-0.01786,0.33842
svr,0,0.08301,0.20486,0.17511,0.28812
svr,1,0.0886,0.21169,0.20372,0.29765
svr,2,0.10049,0.21994,0.10686,0.31701
tabnet,0,0.09393,0.23342,0.06668,0.30647
tabnet,1,0.08912,0.23321,0.19907,0.29852
tabnet,2,0.09606,0.23456,0.14629,0.30993
tabpfn,0,0.08108,0.21442,0.19438,0.28474
tabpfn,1,0.08487,0.22025,0.23725,0.29132
tabpfn,2,0.09227,0.21713,0.17994,0.30376
xgb,0,0.10081,0.23223,-0.00174,0.31751
xgb,1,0.10887,0.23906,0.02151,0.32996
xgb,2,0.10703,0.2246,0.04878,0.32715
